cluster_id,hacks_bin,hacks_n_stars,radius_arcsec,hst_sigma_pm_masyr,hst_sigma_pm_err_masyr,gaia_sigma_pm_masyr,gaia_sigma_pm_err_masyr,sigma_diff_masyr,delta_frac,z_raw,z_corrected,hst_sigma_radial_masyr,hst_sigma_radial_err_masyr,hst_sigma_tangential_masyr,hst_sigma_tangential_err_masyr,hst_beta_pm,median_gaia_density_arcmin2,n_apogee_rows
NGC5024,5,231,30.2012,0.079,0.003,0.0678919620046413,0.0081397730447159,-0.0111080379953587,-0.140608075890616,-1.28046309102541,-1.28046309102541,0.083,0.004,0.075,0.004,0.1834809115982,81.56,41
NGC5024,6,231,34.6511,0.073,0.003,0.0674098526540592,0.0077457328892409,-0.0055901473459408,-0.0765773609032987,-0.672992320999699,-0.672992320999699,0.079,0.004,0.067,0.004,0.28072424290979,81.56,41
NGC5024,7,231,38.0509,0.076,0.003,0.0669773384151384,0.0074391188490613,-0.0090226615848615,-0.118719231379758,-1.12484449958707,-1.12484449958707,0.078,0.004,0.076,0.004,0.0506245890861275,81.56,41
NGC5024,8,231,42.4247,0.072,0.003,0.0663910226614192,0.0070519923558867,-0.0056089773385808,-0.0779024630358445,-0.731899550832212,-0.731899550832212,0.075,0.004,0.067,0.003,0.201955555555555,81.56,41
NGC5024,9,231,46.257,0.069,0.003,0.0659250024481263,0.0067442933561989,-0.0030749975518737,-0.0445651819112132,-0.41658567547687,-0.41658567547687,0.073,0.004,0.065,0.003,0.207168324263464,81.56,41
NGC5024,10,231,50.4075,0.076,0.003,0.0653927460083628,0.0064566079402883,-0.0106072539916372,-0.139569131468911,-1.48988005665415,-1.48988005665415,0.08,0.004,0.071,0.004,0.21234375,81.56,41
NGC5024,11,231,55.0394,0.067,0.002,0.0647946895333269,0.006176233265838,-0.0022053104666731,-0.0329150815921361,-0.339697454268503,-0.339697454268503,0.07,0.004,0.063,0.003,0.19,81.56,41
NGC5024,12,231,59.9783,0.064,0.002,0.064210074508158,0.0059021600734181,0.000210074508158,0.003282414189969,0.0337100146362735,0.0337100146362735,0.069,0.003,0.058,0.003,0.29342575089267,81.56,41
NGC5024,13,231,64.9717,0.064,0.002,0.0634454715242782,0.0057189274853188,-0.0005545284757218,-0.0086645074331532,-0.0915281204370208,-0.0915281204370208,0.069,0.004,0.058,0.003,0.29342575089267,81.56,41
NGC5024,14,230,70.868,0.066,0.002,0.062613818011768,0.0055202454373573,-0.0033861819882319,-0.0513057877004842,-0.576726709028615,-0.576726709028615,0.07,0.004,0.062,0.003,0.215510204081633,81.56,41
NGC5024,15,230,78.7879,0.068,0.003,0.061577819466083,0.0052268397654174,-0.006422180533917,-0.0944438313811325,-1.06563987573827,-1.06563987573827,0.073,0.004,0.062,0.003,0.278663914430475,81.56,41
NGC5024,16,230,88.1308,0.062,0.002,0.0603557662982357,0.0049796299083247,-0.0016442337017643,-0.0265198984155537,-0.306402340869666,-0.306402340869666,0.066,0.003,0.058,0.003,0.227731864095501,81.56,41
NGC5024,17,230,100.7875,0.06,0.002,0.0585713406131558,0.0048945542377115,-0.0014286593868441,-0.0238109897807361,-0.270200437224139,-0.270200437224139,0.062,0.003,0.057,0.003,0.154786680541103,81.56,41
NGC5053,1,50,26.5938,0.037,0.003,0.0210681787576145,0.005217846560496,-0.0159318212423855,-0.430589763307715,-2.64701069907876,-1.13647160879081,0.037,0.005,0.031,0.004,0.298027757487217,35.59,17
NGC5053,2,50,52.6821,0.038,0.003,0.0198011330170606,0.0053952451058528,-0.0181988669829394,-0.478917552182615,-2.94803378348925,-1.26098474030626,0.037,0.004,0.038,0.005,-0.0547845142439738,35.59,17
NGC5053,3,50,68.0478,0.03,0.003,0.0191941052137937,0.005586743472115,-0.0108058947862063,-0.360196492873542,-1.70405851417182,-0.726170052320768,0.032,0.004,0.028,0.003,0.234375,35.59,17
NGC5053,4,49,84.4754,0.023,0.002,0.0186211994516889,0.0057157742358321,-0.004378800548311,-0.190382632535264,-0.723101502622184,-0.291564492445452,0.024,0.003,0.024,0.003,0.0,35.59,17
NGC5053,5,49,101.4658,0.029,0.003,0.0179379304580598,0.0057817366970879,-0.0110620695419402,-0.381450673860008,-1.69827357291774,-0.721166383425671,0.03,0.004,0.03,0.004,0.0,35.59,17
NGC5272,3,209,19.7115,0.161,0.006,0.173030999063438,0.0183371911142316,0.0120309990634376,0.0747267022573764,0.62356658688643,0.62356658688643,0.155,0.008,0.166,0.009,-0.146971904266389,110.95,0
NGC5272,4,209,24.772,0.16,0.006,0.170404495986767,0.0174948771490135,0.0104044959867672,0.0650280999172951,0.562552542741815,0.562552542741815,0.161,0.008,0.158,0.008,0.0369198719185218,110.95,0
NGC5272,5,209,28.7488,0.156,0.006,0.168693253008166,0.0169460851557504,0.0126932530081658,0.0813670064626012,0.706085918709304,0.706085918709304,0.158,0.009,0.155,0.008,0.0376141643967313,110.95,0
NGC5272,6,209,32.7826,0.161,0.006,0.16718407581658,0.0164620952317511,0.0061840758165795,0.0384104087986308,0.352943516014389,0.352943516014389,0.164,0.009,0.159,0.008,0.0600461035098157,110.95,0
NGC5272,7,209,37.1038,0.155,0.006,0.165507514193831,0.0159392079360797,0.0105075141938308,0.0677904141537471,0.6169604143162,0.6169604143162,0.149,0.008,0.162,0.008,-0.182108914012882,110.95,0
